Year,Rnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Team Made Playoffs
2004,1,5,Brewers,Y,2200000.0,Mark Rogers,RHP,1.1,11.0,3.0,1.0,3.49,1.12,0.0,HS,"Mount Ararat School (Topsham, ME)",0
2004,1,6,Indians,Y,2475000.0,Jeremy Sowers,LHP,1.6,72.0,18.0,30.0,5.18,1.44,0.0,4Yr,"Vanderbilt University (Nashville, TN)",0
2004,1,7,Reds,Y,2300000.0,Homer Bailey,RHP,6.2,245.0,81.0,86.0,4.56,1.37,0.0,HS,"La Grange HS (La Grange, TX)",0
2004,1,8,Orioles,N,0.0,Wade Townsend,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Rice University (Houston, TX)",0
2004,1,10,Rangers,Y,2025000.0,Thomas Diamond,RHP,-0.5,16.0,1.0,3.0,6.83,1.76,0.0,4Yr,"University of New Orleans (New Orleans, LA)",0
2004,1,12,Angels,Y,4000000.0,Jered Weaver,RHP,34.6,331.0,150.0,98.0,3.63,1.19,0.0,4Yr,"California State University, Long Beach (Long Beach, CA)",1
2004,1,13,Expos,Y,1750000.0,Bill Bray,LHP,2.3,258.0,13.0,12.0,3.74,1.38,3.0,4Yr,"College of William and Mary (Williamsburg, VA)",0
2004,1,16,Blue Jays,Y,1600000.0,David Purcey,LHP,0.1,111.0,7.0,13.0,4.98,1.54,1.0,4Yr,"University of Oklahoma (Norman, OK)",0
2004,1,17,Dodgers,Y,1575000.0,Scott Elbert,LHP,1.5,127.0,4.0,3.0,3.54,1.33,2.0,HS,"Seneca HS (Seneca, MO)",1
2004,1,19,Cardinals,Y,1525000.0,Chris Lambert,RHP,-0.8,14.0,1.0,3.0,7.36,1.97,0.0,4Yr,"Boston College (Chestnut Hill, MA)",1
2004,1,22,Twins ,Y,1425000.0,Glen Perkins,LHP,8.9,409.0,35.0,25.0,3.88,1.29,120.0,4Yr,"University of Minnesota (Minneapolis, MN)",1
2004,1,23,Yankees ,Y,1400000.0,Phil Hughes,RHP,11.0,290.0,88.0,79.0,4.52,1.31,3.0,HS,"Foothill HS (Santa Ana, CA)",1
2004,1,25,Twins ,Y,1000000.0,Kyle Waldrop,RHP,0.5,24.0,1.0,1.0,3.62,1.52,0.0,HS,"Farragut HS (Knoxville, TN)",1
2004,1,27,Marlins,Y,1300000.0,Taylor Tankersley,LHP,0.6,168.0,8.0,3.0,4.58,1.52,4.0,4Yr,"University of Alabama (Tuscaloosa, AL)",0
2004,1,30,Rangers ,Y,1050000.0,Eric Hurley,RHP,0.1,5.0,1.0,2.0,5.47,1.42,0.0,HS,"Wolfson HS (Jacksonville, FL)",0
2004,1,31,Royals,Y,1000000.0,J.P. Howell,LHP,7.8,547.0,36.0,30.0,3.83,1.34,22.0,4Yr,"University of Texas at Austin (Austin, TX)",0
2004,1,32,Blue Jays,Y,1017500.0,Zach Jackson,LHP,-0.8,22.0,4.0,5.0,5.81,1.57,0.0,4Yr,"Texas A&M University (College Station, TX)",0
2004,1,33,Dodgers,Y,1000000.0,Justin Orenduff,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Virginia Commonwealth University (Richmond, VA)",1
2004,1,34,White Sox,Y,975000.0,Tyler Lumsden,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Clemson University (Clemson, SC)",0
2004,1,35,Twins,Y,950000.0,Matt Fox,RHP,0.0,4.0,0.0,0.0,4.91,1.36,0.0,4Yr,"University of Central Florida (Orlando, FL)",1
2004,1,39,Twins,Y,875000.0,Jay Rainville,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Bishop Hendricken HS (Warwick, RI)",1
2004,1,40,Athletics,Y,800000.0,Huston Street,RHP,14.5,668.0,42.0,34.0,2.95,1.07,324.0,4Yr,"University of Texas at Austin (Austin, TX)",0
2004,1,41,Yankees,Y,790000.0,Jeff Marquez,RHP,0.0,4.0,0.0,0.0,5.4,1.4,0.0,JC,"Sacramento City College (Sacramento, CA)",1
2005,1,6,Blue Jays,Y,2400000.0,Ricky Romero,LHP,9.9,129.0,51.0,45.0,4.16,1.4,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)",0
2005,1,8,Devil Rays,Y,1500000.0,Wade Townsend,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Rice University (Houston, TX)",0
2005,1,9,Mets,Y,3550000.0,Mike Pelfrey,RHP,5.8,275.0,68.0,103.0,4.68,1.51,1.0,4Yr,"Wichita State University (Wichita, KS)",0
2005,1,15,White Sox,Y,1570000.0,Lance Broadway,RHP,0.3,27.0,2.0,2.0,5.24,1.6,0.0,4Yr,"Texas Christian University (Fort Worth, TX)",1
2005,1,16,Marlins,Y,1600000.0,Chris Volstad,RHP,2.0,170.0,37.0,58.0,5.0,1.45,0.0,HS,"Palm Beach Gardens HS (Palm Beach Gardens, FL)",0
2005,1,18,Padres,Y,1550000.0,Cesar Carrillo,RHP,-0.7,3.0,1.0,2.0,13.06,2.71,0.0,4Yr,"University of Miami (Coral Gables, FL)",1
2005,1,20,Cubs,Y,1750000.0,Mark Pawelek,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Springville HS (Springville, UT)",0
2005,1,22,Marlins ,Y,1225000.0,Aaron Thompson,LHP,-0.1,52.0,1.0,3.0,4.94,1.52,0.0,HS,"Second Baptist School (Houston, TX)",0
2005,1,24,Astros,Y,1375000.0,Brian Bogusevic,LHP,2.1,1.0,0.0,0.0,18.0,3.0,0.0,4Yr,"Tulane University (New Orleans, LA)",1
2005,1,25,Twins,Y,1350000.0,Matt Garza,RHP,12.5,290.0,93.0,106.0,4.09,1.32,1.0,4Yr,"California State University, Fresno (Fresno, CA)",0
2005,1,26,Red Sox ,Y,1325000.0,Craig Hansen,RHP,-1.9,95.0,4.0,9.0,6.34,1.72,3.0,4Yr,"St. John's University (Queens, NY)",1
2005,1,27,Braves,Y,1300000.0,Joey Devine,RHP,2.0,93.0,8.0,3.0,2.75,1.25,1.0,4Yr,"North Carolina State University (Raleigh, NC)",1
2005,1,29,Marlins ,Y,1000000.0,Jacob Marceaux,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"McNeese State University (Lake Charles, LA)",0
2005,1,31,Diamondbacks,Y,1025000.0,Matt Torra,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Massachusetts Amherst (Amherst, MA)",0
2005,1,32,Rockies,Y,1025000.0,Chaz Roe,RHP,1.2,245.0,11.0,8.0,3.89,1.34,3.0,HS,"Lafayette HS (Lexington, KY)",0
2005,1,34,Marlins,Y,975000.0,Ryan Tucker,RHP,-1.3,18.0,2.0,3.0,8.14,1.88,0.0,HS,"Temple City HS (Temple City, CA)",0
2005,1,35,Padres,Y,950000.0,Cesar Ramos,LHP,1.4,267.0,10.0,15.0,4.02,1.4,2.0,4Yr,"California State University, Long Beach (Long Beach, CA)",1
2005,1,37,Angels,Y,925000.0,Trevor Bell,RHP,-1.2,54.0,4.0,8.0,5.57,1.76,0.0,HS,"Crescenta Valley HS (La Crescenta, CA)",1
2005,1,40,Dodgers,N,0.0,Luke Hochevar,RHP,3.7,279.0,46.0,65.0,4.98,1.34,3.0,4Yr,"University of Tennessee (Knoxville, TN)",0
2005,1,41,Braves,Y,825000.0,Beau Jones,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Destrehan HS (Destrehan, LA)",1
2005,1,42,Red Sox,Y,800000.0,Clay Buchholz,RHP,16.8,236.0,90.0,69.0,3.98,1.3,0.0,JC,"Angelina College (Lufkin, TX)",1
2005,1,43,Cardinals,Y,800000.0,Mark McCormick,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Baylor University (Waco, TX)",1
2005,1,44,Marlins,Y,775000.0,Sean West,LHP,-0.1,22.0,8.0,8.0,5.03,1.58,0.0,HS,"Captain Shreve HS (Shreveport, LA)",0
2005,1,46,Cardinals,Y,675000.0,Tyler Herron,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Wellington Community HS (Wellington, FL)",1
2005,1,47,Red Sox,Y,730000.0,Michael Bowden,RHP,0.8,103.0,3.0,5.0,4.51,1.4,0.0,HS,"Waubonsie Valley HS (Aurora, IL)",1
2005,1,48,Orioles,Y,650000.0,Garrett Olson,LHP,-2.7,104.0,14.0,22.0,6.26,1.67,1.0,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",0
2006,1,1,Royals,Y,3500000.0,Luke Hochevar,RHP,3.7,279.0,46.0,65.0,4.98,1.34,3.0,None,,0
2006,1,2,Rockies,Y,3250000.0,Greg Reynolds,RHP,-1.5,33.0,6.0,11.0,7.01,1.65,0.0,4Yr,"Stanford University (Palo Alto, CA)",0
2006,1,4,Pirates,Y,2750000.0,Brad Lincoln,RHP,0.4,99.0,9.0,11.0,4.74,1.39,1.0,4Yr,"University of Houston (Houston, TX)",0
2006,1,5,Mariners,Y,2450000.0,Brandon Morrow,RHP,11.1,334.0,51.0,43.0,3.96,1.31,40.0,4Yr,"University of California, Berkeley (Berkeley, CA)",0
2006,1,6,Tigers,Y,3550000.0,Andrew Miller,LHP,7.7,612.0,55.0,55.0,4.03,1.34,63.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",1
2006,1,7,Dodgers,Y,2300000.0,Clayton Kershaw,LHP,73.9,389.0,190.0,86.0,2.49,1.01,0.0,HS,"Highland Park HS (University Park, TX)",1
2006,1,10,Giants,Y,2025000.0,Tim Lincecum,RHP,19.5,278.0,110.0,89.0,3.74,1.29,1.0,4Yr,"University of Washington (Seattle, WA)",0
2006,1,11,Diamondbacks,Y,3000000.0,Max Scherzer,RHP,68.1,415.0,195.0,98.0,3.15,1.08,0.0,4Yr,"University of Missouri (Columbia, MO)",0
2006,1,12,Rangers,Y,1600000.0,Kasey Kiker,LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Russell County HS (Seale, AL)",0
2006,1,16,Brewers,Y,1550000.0,Jeremy Jeffress,RHP,8.8,414.0,32.0,12.0,3.08,1.32,52.0,HS,"Halifax County HS (South Boston, VA)",0
2006,1,18,Phillies ,Y,1550000.0,Kyle Drabek,RHP,-0.1,43.0,8.0,15.0,5.26,1.7,0.0,HS,"The Woodlands HS (The Woodlands, TX)",0
2006,1,19,Marlins,Y,1525000.0,Brett Sinkbeil,RHP,-0.2,3.0,0.0,0.0,13.5,3.5,0.0,4Yr,"Missouri State University (Springfield, MO)",0
2006,1,21,Yankees ,Y,2250000.0,Ian Kennedy,RHP,18.5,456.0,103.0,110.0,4.1,1.28,60.0,4Yr,"University of Southern California (Los Angeles, CA)",1
2006,1,22,Nationals ,Y,1425000.0,Colton Willems,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"John Carroll Catholic HS (Fort Pierce, FL)",0
2006,1,26,Dodgers ,Y,1325000.0,Bryan Morris,RHP,2.7,231.0,20.0,12.0,3.13,1.37,1.0,JC,"Motlow State Community College (Lynchburg, TN)",1
2006,1,28,Red Sox ,Y,1550000.0,Daniel Bard,RHP,6.3,330.0,24.0,31.0,3.81,1.27,47.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",0
2006,1,29,White Sox,Y,1050000.0,Kyle McCulloch,RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Texas at Austin (Austin, TX)",0
2006,1,30,Cardinals,Y,950000.0,Adam Ottavino,RHP,12.4,565.0,34.0,33.0,3.55,1.31,30.0,4Yr,"Northeastern University (Boston, MA)",1
2006,1,32,Orioles,Y,1000000.0,Pedro Beato,RHP,-1.0,85.0,4.0,2.0,4.31,1.3,0.0,JC,"St. Petersburg College (St. Petersburg, FL)",0
2006,1,34,Diamondbacks,Y,900000.0,Brooks Brown,RHP,0.9,64.0,1.0,4.0,3.97,1.24,0.0,4Yr,"University of Georgia (Athens, GA)",0
2006,1,38,Braves,Y,900000.0,Cory Rasmus,RHP,0.5,84.0,4.0,5.0,4.17,1.33,0.0,HS,"Russell County HS (Seale, AL)",0
