year,league_id,team_id,franchise_id,div_id,rank,g,ghome,w,l,div_win,wc_win,lg_win,ws_win,r,ab,h,double,triple,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,team_id_br,team_id_lahman45,team_id_retro,make_playoffs_wild_card,make_playoffs_win_division,make_playoffs_win_league,make_playoffs_win_worldseries,make_playoffs
2001,NL,MON,WSN,E,5,162,81.0,68,94,N,N,N,N,670,5379,1361,320,28,131,478,1071.0,101.0,51.0,60.0,45.0,812,745,4.68,5,11,28,4294,1509,190,525,1103,108,139.0,0.982,Montreal Expos,Stade Olympique,642745.0,101,102,MON,MON,MON,False,False,False,False,False
2001,AL,NYA,NYY,E,1,161,80.0,95,65,Y,N,Y,N,804,5577,1488,289,20,203,519,1035.0,161.0,53.0,64.0,43.0,713,649,4.02,7,9,57,4354,1429,158,465,1266,109,132.0,0.982,New York Yankees,Yankee Stadium II,3264907.0,102,100,NYY,NYA,NYA,False,True,True,False,True
2001,NL,NYN,NYM,E,3,162,81.0,82,80,N,N,N,N,642,5459,1361,273,18,147,545,1062.0,66.0,48.0,65.0,35.0,713,654,4.07,6,14,48,4337,1418,186,438,1191,101,132.0,0.983,New York Mets,Shea Stadium,2658330.0,96,96,NYM,NYN,NYN,False,False,False,False,False
2001,AL,OAK,OAK,W,2,162,81.0,102,60,N,Y,N,N,884,5573,1469,334,22,199,640,1021.0,68.0,29.0,88.0,59.0,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151.0,0.98,Oakland Athletics,Oakland Coliseum,2133277.0,99,97,OAK,OAK,OAK,True,False,False,False,True
2001,NL,PHI,PHI,E,2,162,81.0,86,76,N,N,N,N,746,5497,1431,295,29,164,551,1125.0,153.0,47.0,43.0,61.0,719,667,4.15,8,7,47,4336,1417,170,527,1086,91,145.0,0.985,Philadelphia Phillies,Veterans Stadium,1782054.0,98,98,PHI,PHI,PHI,False,False,False,False,False
2001,NL,PIT,PIT,C,6,162,81.0,62,100,N,N,N,N,657,5398,1333,256,25,161,467,1106.0,93.0,73.0,67.0,35.0,858,794,5.05,8,9,36,4249,1493,167,549,908,133,168.0,0.978,Pittsburgh Pirates,PNC Park,2464870.0,103,105,PIT,PIT,PIT,False,False,False,False,False
2001,NL,SDN,SDP,W,4,162,81.0,79,83,N,N,N,N,789,5482,1379,273,26,161,678,1273.0,129.0,44.0,41.0,48.0,812,724,4.52,5,6,46,4322,1519,219,476,1088,145,127.0,0.976,San Diego Padres,Qualcomm Stadium,2378128.0,91,92,SDP,SDN,SDN,False,False,False,False,False
2001,AL,SEA,SEA,W,1,162,81.0,116,46,Y,N,N,N,927,5680,1637,310,38,169,614,989.0,174.0,42.0,62.0,70.0,627,576,3.54,8,14,56,4395,1293,160,465,1051,83,137.0,0.986,Seattle Mariners,Safeco Field,3507326.0,94,93,SEA,SEA,SEA,False,True,False,False,True
2001,NL,SFN,SFG,W,2,162,81.0,90,72,N,N,N,N,799,5612,1493,304,40,235,625,1090.0,57.0,42.0,50.0,54.0,748,680,4.18,3,8,47,4390,1437,145,579,1080,118,170.0,0.981,San Francisco Giants,PacBell Park,3311958.0,93,92,SFG,SFN,SFN,False,False,False,False,False
2001,NL,SLN,STL,C,2,162,82.0,93,69,N,Y,N,N,814,5450,1469,274,32,199,529,1089.0,91.0,35.0,65.0,50.0,684,627,3.93,8,11,38,4306,1389,196,526,1083,110,156.0,0.982,St. Louis Cardinals,Busch Stadium II,3109578.0,100,99,STL,SLN,SLN,True,False,False,False,True
