Name,Year,OvPck,RdPck,Rnd,Tm,Pos,FrRnd,Signed,Bonus,WAR,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of
Rick Porcello(minors),2007,27,27,1,Tigers,RHP,FrRnd,Y,"$3,580,000 ",18.8,355.0,150.0,125.0,4.4,1.32,0.0,HS,"Seton Hall Preparatory School (West Orange, NJ)"
Andrew Brackman(minors),2007,30,30,1,Yankees,RHP,FrRnd,Y,"$3,350,000 ",0.1,3.0,0.0,0.0,0.0,1.71,0.0,4Yr,"North Carolina State University (Raleigh, NC)"
*Josh Smoker(minors),2007,31,31,1s,Nationals,LHP,FrRnd,Y,"$1,000,000 ",-0.7,82.0,4.0,2.0,5.35,1.7,0.0,HS,"Calhoun HS (Calhoun, GA)"
*Clayton Mortensen(minors),2007,36,36,1s,Cardinals,RHP,FrRnd,Y,"$650,000 ",-0.5,74.0,6.0,11.0,4.68,1.44,0.0,4Yr,"Gonzaga University (Spokane, WA)"
*Brett Cecil(minors),2007,38,38,1s,Blue Jays,LHP,FrRnd,Y,"$810,000 ",6.7,443.0,44.0,47.0,4.29,1.36,12.0,4Yr,"University of Maryland (College Park, MD)"
*James Adkins(minors),2007,39,39,1s,Dodgers,LHP,FrRnd,Y,"$787,500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of Tennessee (Knoxville, TN)"
*Eddie Kunz(minors),2007,42,42,1s,Mets,RHP,FrRnd,Y,"$720,000 ",-0.2,4.0,0.0,0.0,13.5,2.25,0.0,4Yr,"Oregon State University (Corvallis, OR)"
*Neil Ramirez(minors),2007,44,44,1s,Rangers,RHP,FrRnd,Y,"$1,000,000 ",0.3,185.0,4.0,8.0,4.46,1.42,3.0,HS,"Kempsville HS (Virginia Beach, VA)"
*Nathan Vineyard(minors),2007,47,47,1s,Mets,LHP,FrRnd,Y,"$657,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Woodland HS (Cartersville, GA)"
*Wes Roemer(minors),2007,50,50,1s,Diamondbacks,RHP,FrRnd,Y,"$620,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California State University, Fullerton (Fullerton, CA)"
*Kyle Lotzkar(minors),2007,53,53,1s,Reds,RHP,FrRnd,Y,"$594,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
*Tommy Hunter(minors),2007,54,54,1s,Rangers,RHP,FrRnd,Y,"$585,000 ",11.2,480.0,56.0,45.0,4.02,1.24,22.0,4Yr,"University of Alabama (Tuscaloosa, AL)"
*Nick Hagadone(minors),2007,55,55,1s,Red Sox,LHP,FrRnd,Y,"$571,500 ",-0.2,143.0,3.0,2.0,4.72,1.37,1.0,4Yr,"University of Washington (Seattle, WA)"
*Trystan Magnuson(minors),2007,56,56,1s,Blue Jays,RHP,FrRnd,Y,"$462,500 ",-0.2,9.0,0.0,0.0,6.14,1.36,0.0,4Yr,"University of Louisville (Louisville, KY)"
*Jon Bachanov(minors),2007,58,58,1s,Angels,RHP,FrRnd,Y,"$553,300 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"University HS (Orlando, FL)"
*Brandon Hamilton(minors),2007,60,60,1s,Tigers,RHP,FrRnd,Y,"$540,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Stanhope Elmore HS (Millbrook, AL)"
*Cory Luebke(minors),2007,63,63,1s,Padres,LHP,FrRnd,Y,"$515,000 ",2.4,64.0,10.0,13.0,3.52,1.19,0.0,4Yr,"The Ohio State University (Columbus, OH)"
Luke Hochevar(minors),2006,1,1,1,Royals,RHP,FrRnd,Y,"$3,500,000 ",3.7,279.0,46.0,65.0,4.98,1.34,3.0,0,0
Greg Reynolds(minors),2006,2,2,1,Rockies,RHP,FrRnd,Y,"$3,250,000 ",-1.5,33.0,6.0,11.0,7.01,1.65,0.0,4Yr,"Stanford University (Palo Alto, CA)"
Brad Lincoln(minors),2006,4,4,1,Pirates,RHP,FrRnd,Y,"$2,750,000 ",0.4,99.0,9.0,11.0,4.74,1.39,1.0,4Yr,"University of Houston (Houston, TX)"
Brandon Morrow(minors),2006,5,5,1,Mariners,RHP,FrRnd,Y,"$2,450,000 ",11.1,334.0,51.0,43.0,3.96,1.31,40.0,4Yr,"University of California, Berkeley (Berkeley, CA)"
Andrew Miller(minors),2006,6,6,1,Tigers,LHP,FrRnd,Y,"$3,550,000 ",7.7,612.0,55.0,55.0,4.03,1.34,63.0,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)"
Clayton Kershaw(minors),2006,7,7,1,Dodgers,LHP,FrRnd,Y,"$2,300,000 ",73.9,389.0,190.0,86.0,2.49,1.01,0.0,HS,"Highland Park HS (University Park, TX)"
Tim Lincecum(minors),2006,10,10,1,Giants,RHP,FrRnd,Y,"$2,025,000 ",19.5,278.0,110.0,89.0,3.74,1.29,1.0,4Yr,"University of Washington (Seattle, WA)"
Max Scherzer(minors),2006,11,11,1,Diamondbacks,RHP,FrRnd,Y,"$3,000,000 ",68.1,415.0,195.0,98.0,3.15,1.08,0.0,4Yr,"University of Missouri (Columbia, MO)"
Kasey Kiker(minors),2006,12,12,1,Rangers,LHP,FrRnd,Y,"$1,600,000 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,"Russell County HS (Seale, AL)"
Jeremy Jeffress(minors),2006,16,16,1,Brewers,RHP,FrRnd,Y,"$1,550,000 ",8.8,414.0,32.0,12.0,3.08,1.32,52.0,HS,"Halifax County HS (South Boston, VA)"
*Kyle Drabek(minors),2006,18,18,1,Phillies via Mets,RHP,FrRnd,Y,"$1,550,000 ",-0.1,43.0,8.0,15.0,5.26,1.7,0.0,HS,"The Woodlands HS (The Woodlands, TX)"
Brett Sinkbeil(minors),2006,19,19,1,Marlins,RHP,FrRnd,Y,"$1,525,000 ",-0.2,3.0,0.0,0.0,13.5,3.5,0.0,4Yr,"Missouri State University (Springfield, MO)"
