Name,Year,OvPck,RdPck,Rnd,Tm,Pos,DT,FrRnd,Signed,Bonus,WAR,G,AB,HR,BA,OPS,Type,Drafted Out of
Richie Shaffer(minors),2012,25,25,1,Rays,3B,0.0,FrRnd,Y,"$1,710,000 ",0.0,51.0,122.0,5.0,0.213,0.72,4Yr,"Clemson University (Clemson, SC)"
Stryker Trahan(minors),2012,26,26,1,Diamondbacks,C,0.0,FrRnd,Y,"$1,700,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Acadiana HS (Lafayette, LA)"
*Clint Coulter(minors),2012,27,27,1,Brewers via Tigers,C,0.0,FrRnd,Y,"$1,675,000 ",0.0,0.0,0.0,0.0,0.0,0.0,HS,"Union HS (Camas, WA)"
Victor Roache(minors),2012,28,28,1,Brewers,OF,0.0,FrRnd,Y,"$1,525,000 ",0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Georgia Southern University (Statesboro, GA)"
Lewis Brinson(minors),2012,29,29,1,Rangers,OF,0.0,FrRnd,Y,"$1,625,000 ",-3.4,341.0,1035.0,25.0,0.199,0.57,HS,"Coral Springs HS (Coral Springs, FL)"
*Daniel Robertson(minors),2012,34,34,1s,Athletics,SS,0.0,FrRnd,Y,"$1,500,000 ",2.2,299.0,801.0,18.0,0.227,0.683,HS,"Upland HS (Upland, CA)"
*Kevin Plawecki(minors),2012,35,35,1s,Mets,C,0.0,FrRnd,Y,"$1,400,000 ",2.9,412.0,1173.0,22.0,0.232,0.655,4Yr,"Purdue University (West Lafayette, IN)"
*Stephen Piscotty(minors),2012,36,36,1s,Cardinals,3B,0.0,FrRnd,Y,"$1,430,000 ",7.0,703.0,2449.0,89.0,0.258,0.758,4Yr,"Stanford University (Palo Alto, CA)"
*Mitch Haniger(minors),2012,38,38,1s,Brewers,OF,0.0,FrRnd,Y,"$1,200,000 ",14.2,516.0,1975.0,104.0,0.262,0.818,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)"
*Joey Gallo(minors),2012,39,39,1s,Rangers,3B,0.0,FrRnd,Y,"$2,250,000 ",14.3,692.0,2208.0,167.0,0.202,0.802,HS,"Bishop Gorman HS (Las Vegas, NV)"
